"time","strata",".pred_survival"
1,"clusterCC=1, clusterFC=1, clusterTC=1",0.995897698275413
2,"clusterCC=1, clusterFC=1, clusterTC=1",0.962383549991283
3,"clusterCC=1, clusterFC=1, clusterTC=1",0.906945796570237
4,"clusterCC=1, clusterFC=1, clusterTC=1",0.85592799739461
5,"clusterCC=1, clusterFC=1, clusterTC=1",0.81576360472693
6,"clusterCC=1, clusterFC=1, clusterTC=1",0.784182023622721
7,"clusterCC=1, clusterFC=1, clusterTC=1",0.758120210949567
8,"clusterCC=1, clusterFC=1, clusterTC=1",0.73546852430874
9,"clusterCC=1, clusterFC=1, clusterTC=1",0.71499383264196
10,"clusterCC=1, clusterFC=1, clusterTC=1",0.69601369968094
11,"clusterCC=1, clusterFC=1, clusterTC=1",0.678153722648578
12,"clusterCC=1, clusterFC=1, clusterTC=1",0.661204113273477
13,"clusterCC=1, clusterFC=1, clusterTC=1",0.645041513080717
14,"clusterCC=1, clusterFC=1, clusterTC=1",0.62958777083404
15,"clusterCC=1, clusterFC=1, clusterTC=1",0.614788518560811
16,"clusterCC=1, clusterFC=1, clusterTC=1",0.600602109801717
17,"clusterCC=1, clusterFC=1, clusterTC=1",0.586993930836977
18,"clusterCC=1, clusterFC=1, clusterTC=1",0.573933487119684
19,"clusterCC=1, clusterFC=1, clusterTC=1",0.561392918990957
20,"clusterCC=1, clusterFC=1, clusterTC=1",0.549346249849807
21,"clusterCC=1, clusterFC=1, clusterTC=1",0.537769006017648
22,"clusterCC=1, clusterFC=1, clusterTC=1",0.526637992584024
23,"clusterCC=1, clusterFC=1, clusterTC=1",0.515645125092666
24,"clusterCC=1, clusterFC=1, clusterTC=1",0.479589407714378
25,"clusterCC=1, clusterFC=1, clusterTC=1",0.407854173547304
26,"clusterCC=1, clusterFC=1, clusterTC=1",0.391542027867974
27,"clusterCC=1, clusterFC=1, clusterTC=1",0.382307615632689
28,"clusterCC=1, clusterFC=1, clusterTC=1",0.373431216861561
29,"clusterCC=1, clusterFC=1, clusterTC=1",0.364869687268558
